item_no,barcode,name,comp_nm
10060,8801019311345,해태포키블루베리41G,해태제과식품
10091,8801062380114,꼬깔콘고소한맛72G,롯데제과
10092,8801043036337,농심오징어집83G,농심
10093,8801043036078,농심매운새우깡90G,농심
10094,8801111180993,크라운)콘초66G,크라운제과
10095,8801043036634,농심바나나킥75G,농심
10100,8801062898824,롯데)자일리톨베타비타D용기86G,롯데제과
10107,7610700009338,리콜라)리콜라스위스캔디크랜베리맛40G,리콜라
10109,4037719066986,캐빈디쉬하비트로피칼캔디200G,캐빈디쉬
10110,8801062633715,롯데)드림카카오82%(GABA)86G,롯데칠성음료
10112,8886467118159,농심)프링글스클래식53G,농심
10174,8801062334285,롯데폭신폭신말랑카우딸기우유158G,롯데제과
10175,8801062643844,롯데ABC밀크65G,롯데제과
10176,8801062629190,롯데석기시대90G,롯데제과
10177,8801062385911,롯데)오징어땅콩90G,롯데제과
10178,8801043005821,농심칩포테토오리지날125G,농심
10199,8801111931724,스모키베이컨칩매콤불맛70G,크라운제과
10209,8801019608766,해태)맛동산90G,해태제과식품
10210,8801117760106,오리온)포카칩오리지널66G,오리온
10225,8801204307108,청우레몬캔디100G,청우
10227,8809297120291,포포 아이스맛,기타
10234,6952581463931,빅 입속에서 와다닥 콜라향,기타
10235,8809098725060,네모스낵 매콤한 맛,네모스낵
10258,8934760019359,티포녹차쿠키,기타
10265,8801111912082,크라운마이쮸딸기92G,크라운제과
15026,8801062521890,롯데빠다코코낫 300G,롯데제과
15027,8809717810023,청우 뽀로로 미니초코파이 블루베리맛 107.5G,청우
15030,8801111914154,크라운 쿠크다스 화이트토르테 64G,크라운제과
15032,8801062521975,롯데)롯샌파인애플 315G,롯데칠성음료
15033,8801062893539,롯데ABC초코쿠키 152G,롯데제과
15034,8801019314834,해태 오예스 콜드브루 360G,해태
15035,8801062632114,롯데 몽쉘 오리지날 생크림케이크 384G,롯데제과
15036,8801111940924,크라운 쿠크다스 케이크 154G,크라운제과
15039,8804433101554,프라이스 한입에쏙미니바닐라웨하스 190G,프라이스
15043,8801019310256,해태 롤리폴리 초코 196G,해태제과식품
15044,8801062521531,롯데 야채 크래커 249G,롯데제과
15045,8801019314322,해태글리코 포키 극세 딸기블루베리녹차 170G,해태제과식품
15046,8801037091526,동서 리츠 샌드위치크래커 치즈 96G,동서식품
15047,8801037093452,동서 리츠 샌드위치크래커 레몬 96G,동서식품
15048,8801062521982,롯데)롯샌 화이트크림깜뜨 315G,롯데제과
15049,8801037089059,동서 오레오 초콜릿 샌드위치 쿠키 100G,동서식품
15050,5410126716016,로투스베이커리즈코리아) 로투스 비스코프 250G,한국로투스
15051,15051,청우 아꾸뿔레 102G,청우
15052,8801062014675,롯데 마가렛트 오리지널 88G,롯데제과
15056,8809405290441,퓨어잇 동결건조 바나나칩 25G,퓨어잇
15057,8809539867625,헬스밸런스 치즈에 퐁당 현미퍼프 20G,헬스밸런스
15059,8809405290625,퓨어잇 떡뻥 자색고구마 쌀과자 30G,퓨어잇
