KAN_CODE,CLS_NM_1,CLS_NM_2,CLS_NM_3,CLS_NM_4
01010101,가공식품,조미료,종합조미료,천연/발효조미료
01010102,가공식품,조미료,종합조미료,식초
01010103,가공식품,조미료,종합조미료,천일염
01010104,가공식품,조미료,종합조미료,가공염
01010105,가공식품,조미료,종합조미료,설탕
01010106,가공식품,조미료,종합조미료,요리주
01010107,가공식품,조미료,종합조미료,물엿
01010108,가공식품,조미료,종합조미료,육수
01010109,가공식품,조미료,종합조미료,요리용양념장
01010110,가공식품,조미료,종합조미료,시럽류
01010199,가공식품,조미료,종합조미료,기타조미료
01010201,가공식품,조미료,드레싱/소스,케첩
01010202,가공식품,조미료,드레싱/소스,마요네즈
01010203,가공식품,조미료,드레싱/소스,드레싱
01010204,가공식품,조미료,드레싱/소스,소스
01010301,가공식품,조미료,장류,간장
01010302,가공식품,조미료,장류,된장
01010303,가공식품,조미료,장류,고추장
01010304,가공식품,조미료,장류,초고추장
01010305,가공식품,조미료,장류,춘장(짜장)
01010306,가공식품,조미료,장류,청국장
01010307,가공식품,조미료,장류,쌈장
01010308,가공식품,조미료,장류,메주
01010309,가공식품,조미료,장류,양념장
01010310,가공식품,조미료,장류,낫토
01010399,가공식품,조미료,장류,기타장류
01010401,가공식품,조미료,향신료,고추가루
01010402,가공식품,조미료,향신료,후추
01010403,가공식품,조미료,향신료,겨자
01010404,가공식품,조미료,향신료,계피
01010405,가공식품,조미료,향신료,와사비
01010406,가공식품,조미료,향신료,마늘분말
01010407,가공식품,조미료,향신료,생강분말
01010408,가공식품,조미료,향신료,허브가루
01010409,가공식품,조미료,향신료,녹차가루
01010410,가공식품,조미료,향신료,깨
01010499,가공식품,조미료,향신료,기타향신료
01010501,가공식품,조미료,유지류,참기름
01010502,가공식품,조미료,유지류,콩기름(대두유)
01010503,가공식품,조미료,유지류,옥수수기름(옥배유)
01010504,가공식품,조미료,유지류,유채씨유(카놀라유)
01010505,가공식품,조미료,유지류,현미유
01010506,가공식품,조미료,유지류,고추씨기름
01010507,가공식품,조미료,유지류,혼합식용유
01010508,가공식품,조미료,유지류,마가린
01010509,가공식품,조미료,유지류,들기름
01010510,가공식품,조미료,유지류,해바라기유
01010511,가공식품,조미료,유지류,포도씨유
01010512,가공식품,조미료,유지류,올리브유
01010513,가공식품,조미료,유지류,코코넛오일
01010599,가공식품,조미료,유지류,기타식용유지
01020101,가공식품,유제품,우유,일반우유
01020102,가공식품,유제품,우유,기능성우유
01020103,가공식품,유제품,우유,연유
01020199,가공식품,유제품,우유,기타우유
