KAN_CODE,CLS_NM_2,CLS_NM_3,CLS_NM_4,NEW_CODE
1150501,건강식품,간식/건강식품,어린이건강식품,0
1150301,건강식품,건강기능식품,건강기능식품,0
1150299,건강식품,건강보조식품,기타건강보조식품,0
1150201,건강식품,건강보조식품,홍삼/인삼제품,3
1159999,건강식품,기타건강식품,기타건강식품,0
1150401,건강식품,다이어트식품,다이어트식품,0
1150101,건강식품,천연건강식품,꿀,1
1150111,건강식품,천연건강식품,선식,2
1150112,건강식품,천연건강식품,자연식품,0
1168801,과자류,과자세트류,과자세트류,7
1169999,과자류,기타과자류,기타과자류,7
1160201,과자류,비스킷,스낵,13
1160203,과자류,비스킷,쿠키류,18
1160202,과자류,비스킷,파이류,18
1160303,과자류,사탕류,껌류,8
1160301,과자류,사탕류,사탕,10
1160302,과자류,사탕류,젤리류,9
1160304,과자류,사탕류,초콜릿류,11
1160305,과자류,사탕류,카라멜류,12
1160101,과자류,전통과자,한과,17
1160102,과자류,전통과자,화과자,17
1999999,기타가공식품,기타가공식품,기타가공식품,19
1999901,기타가공식품,기타가공식품,담배,19
1089999,냉동식품,기타냉동식품,기타냉동식품,29
1080199,냉동식품,냉동가공식품,기타냉동가공식품,29
1080101,냉동식품,냉동가공식품,냉동과일류,29
1080102,냉동식품,냉동가공식품,냉동돈까스,20
1080109,냉동식품,냉동가공식품,냉동동태포/대구포,28
1080110,냉동식품,냉동가공식품,냉동새우/문어/게,28
1080104,냉동식품,냉동가공식품,냉동스테이크/떡갈비/섭산적,20
1080105,냉동식품,냉동가공식품,냉동치킨,23
1080111,냉동식품,냉동가공식품,냉동포장생선류,28
1080113,냉동식품,냉동가공식품,냉동포장육/사골,27
1080112,냉동식품,냉동가공식품,냉동포장해물모듬류,28
1080107,냉동식품,냉동가공식품,냉동해물/감자/야채튀김류,25
1080103,냉동식품,냉동가공식품,생선까스,20
1080114,냉동식품,냉동가공식품,얼음류,29
1080106,냉동식품,냉동가공식품,탕수육,24
1080108,냉동식품,냉동가공식품,해물완자/육류완자,21
1080399,냉동식품,아이스크림,기타아이스크림류,104
1080303,냉동식품,아이스크림,모나카,104
1080302,냉동식품,아이스크림,바아이스크림,105
1080305,냉동식품,아이스크림,콘/컵아이스크림,106
1080301,냉동식품,아이스크림,튜브아이스크림,107
1070101,농산가공식품,건식품,건과일/야채,4
1070199,농산가공식품,건식품,기타건식품,5
1070102,농산가공식품,건식품,땅콩/견과류가공품,6
1070103,농산가공식품,건식품,한약재류,5
1079999,농산가공식품,기타농산가공식품,기타농산가공식품,5
1059999,대용식재료,기타대용식재료,기타대용식,53
1059903,대용식재료,기타대용식재료,떡국떡/떡볶이떡,53
1059904,대용식재료,기타대용식재료,라이스페이퍼/또띠아피/춘권피,53
1059905,대용식재료,기타대용식재료,만두피,53
1059901,대용식재료,기타대용식재료,수제비,53
1050199,대용식재료,면류,기타면류,57
1050103,대용식재료,면류,냉면,58
1050102,대용식재료,면류,당면,59
1050107,대용식재료,면류,메밀면,58
1050111,대용식재료,면류,쌀국수,60
1050108,대용식재료,면류,우동면/숙면,61
1050101,대용식재료,면류,중면/소면/세면,61
1050106,대용식재료,면류,짜장면/짬뽕면,62
1050105,대용식재료,면류,쫄면,59
1050104,대용식재료,면류,칼국수면,60
1050109,대용식재료,면류,콩국수면,57
1050112,대용식재료,면류,파스타면,63
1110202,분말류,소스분말류,분말스프,33
1110204,분말류,소스분말류,분말죽류,32
1110203,분말류,소스분말류,분말짜장,33
1110201,분말류,소스분말류,분말카레,33
1200299,빵류/떡류,떡류,기타떡류,69
1200202,빵류/떡류,떡류,송편류,69
1200201,빵류/떡류,떡류,시루떡류,69
1200203,빵류/떡류,떡류,인절미류,69
1200204,빵류/떡류,떡류,절편류,69
1200199,빵류/떡류,빵류,기타빵류,70
1200106,빵류/떡류,빵류,단팥/크림/소보루빵,71
1200103,빵류/떡류,빵류,도넛,72
1200101,빵류/떡류,빵류,식빵,73
1200102,빵류/떡류,빵류,조리빵,70
1200104,빵류/떡류,빵류,케익,74
1200105,빵류/떡류,빵류,호빵/찐빵,75
1040104,수산가공식품,건포류,건새우,48
1040107,수산가공식품,건포류,과메기,48
1040199,수산가공식품,건포류,기타건포류,48
1040108,수산가공식품,건포류,노가리,48
1040103,수산가공식품,건포류,멸치,48
1040106,수산가공식품,건포류,문어,48
1040101,수산가공식품,건포류,오징어,48
1040102,수산가공식품,건포류,쥐포,48
1040109,수산가공식품,건포류,진미채,48
1040105,수산가공식품,건포류,한치,48
1040110,수산가공식품,건포류,황태,48
1049999,수산가공식품,기타수산가공식품,기타수산가공식품,49
1040299,수산가공식품,해조류,기타해조류,49
1040201,수산가공식품,해조류,김,49
1040204,수산가공식품,해조류,다시마,49
1040205,수산가공식품,해조류,매생이,49
1040202,수산가공식품,해조류,미역,49
1040203,수산가공식품,해조류,한천,49
1040206,수산가공식품,해조류,해초샐러드,49
1100199,어육/연식품류,어육제품류,기타어육제품류,50
1100103,어육/연식품류,어육제품류,맛살,51
1100101,어육/연식품류,어육제품류,어묵,52
1100102,어육/연식품류,어육제품류,어육소시지,15
1100204,어육/연식품류,연식품,곤약,44
1100299,어육/연식품류,연식품,기타연식품,44
1100201,어육/연식품류,연식품,두부,45
1100203,어육/연식품류,연식품,묵류,44
1100202,어육/연식품류,연식품,유부,47
1020299,유제품,요구르트,기타요구르트,109
1020201,유제품,요구르트,액상요구르트,109
1020102,유제품,우유,기능성우유,111
1020199,유제품,우유,기타우유,110
1020103,유제품,우유,연유,108
1020101,유제품,우유,일반우유,111
1020399,유제품,유가공품,기타유가공품,101
1020302,유제품,유가공품,버터,103
1020303,유제품,유가공품,치즈류,112
1020301,유제품,유가공품,크림,113
1170709,음료류,기능성/건강음료,곡류음료,76
1170799,음료류,기능성/건강음료,기타기능성/건강음료,76
1170710,음료류,기능성/건강음료,두유,110
1170707,음료류,기능성/건강음료,숙취해소음료,76
1170701,음료류,기능성/건강음료,스포츠/이온음료,78
1170702,음료류,기능성/건강음료,식이섬유음료,76
1170703,음료류,기능성/건강음료,올리고음료,76
1170706,음료류,기능성/건강음료,인삼/한약재음료,79
1170708,음료류,기능성/건강음료,전통음료,79
1179999,음료류,기타음료류,기타음료류,76
1170699,음료류,생수,기타생수,77
1170601,음료류,생수,일반생수,77
1170603,음료류,생수,탄산수,90
1170602,음료류,생수,해양심층수,77
1170599,음료류,주스,기타주스,80
1170503,음료류,주스,야채음료,80
1170501,음료류,주스,천연과즙음료,80
1170504,음료류,주스,혼합주스음료,80
1170502,음료류,주스,희석과즙음료,80
1170403,음료류,탄산음료,과즙탄산음료,87
1170499,음료류,탄산음료,기타탄산음료,87
1170402,음료류,탄산음료,사이다,88
1170406,음료류,탄산음료,착향탄산음료,87
1170401,음료류,탄산음료,콜라,89
1090102,절임/발효식품,김치류,갓김치,41
1090104,절임/발효식품,김치류,겉절이,41
1090199,절임/발효식품,김치류,기타김치류,41
1090105,절임/발효식품,김치류,깍두기,41
1090106,절임/발효식품,김치류,나박김치,41
1090107,절임/발효식품,김치류,동치미,41
1090108,절임/발효식품,김치류,묵은지,41
1090109,절임/발효식품,김치류,백김치,41
1090112,절임/발효식품,김치류,별미김치,41
1090110,절임/발효식품,김치류,열무김치,41
1090113,절임/발효식품,김치류,절임배추,41
1090103,절임/발효식품,김치류,총각김치,41
1090111,절임/발효식품,김치류,파김치,41
1090101,절임/발효식품,김치류,포기김치,41
1090299,절임/발효식품,절임식품,기타절임식품,40
1090201,절임/발효식품,절임식품,단무지/쌈무,42
1090206,절임/발효식품,절임식품,어장/해산물장,40
1090204,절임/발효식품,절임식품,올리브,40
1090203,절임/발효식품,절임식품,장아찌류,40
1090205,절임/발효식품,절임식품,절임류,40
1090202,절임/발효식품,절임식품,피클/할라피뇨,43
1010203,조미료,드레싱/소스,드레싱,93
1010202,조미료,드레싱/소스,마요네즈,98
1010204,조미료,드레싱/소스,소스,96
1010201,조미료,드레싱/소스,케첩,100
1010506,조미료,유지류,고추씨기름,92
1010599,조미료,유지류,기타식용유지,91
1010509,조미료,유지류,들기름,92
1010508,조미료,유지류,마가린,102
1010503,조미료,유지류,옥수수기름(옥배유),91
1010512,조미료,유지류,올리브유,91
1010504,조미료,유지류,유채씨유(카놀라유),91
1010501,조미료,유지류,참기름,92
1010513,조미료,유지류,코코넛오일,91
1010502,조미료,유지류,콩기름(대두유),91
1010511,조미료,유지류,포도씨유,91
1010510,조미료,유지류,해바라기유,91
1010505,조미료,유지류,현미유,91
1010507,조미료,유지류,혼합식용유,91
1010301,조미료,장류,간장,94
1010303,조미료,장류,고추장,95
1010399,조미료,장류,기타장류,96
1010310,조미료,장류,낫토,96
1010302,조미료,장류,된장,97
1010308,조미료,장류,메주,96
1010307,조미료,장류,쌈장,99
1010309,조미료,장류,양념장,96
1010306,조미료,장류,청국장,96
1010304,조미료,장류,초고추장,96
1010305,조미료,장류,춘장(짜장),96
1239999,주류,기타주류,기타주류,114
1230207,주류,양조주,과실주,114
1230299,주류,양조주,기타양조주,114
1230201,주류,양조주,맥주,115
1230206,주류,양조주,샴페인,116
1230204,주류,양조주,약주,119
1230208,주류,양조주,와인,116
1230202,주류,양조주,청주,119
1230203,주류,양조주,탁주,119
1230103,주류,증류주,고량주,114
1230199,주류,증류주,기타증류주,114
1230102,주류,증류주,민속주/전통주,119
1230106,주류,증류주,보드카,118
1230105,주류,증류주,브랜디,118
1230101,주류,증류주,소주,117
1230104,주류,증류주,위스키,118
1230107,주류,증류주,진/럼/데킬라/아쿠아비트,118
1230399,주류,혼성주,기타혼성주,114
1230303,주류,혼성주,리큐르,118
1230302,주류,혼성주,매실주,114
1230301,주류,혼성주,인삼주,119
1120399,즉석/편의식품,냉동대용식,기타냉동대용식,29
1120304,즉석/편의식품,냉동대용식,냉동면류,30
1120305,즉석/편의식품,냉동대용식,냉동밥류,30
1120301,즉석/편의식품,냉동대용식,만두류,22
1120302,즉석/편의식품,냉동대용식,피자류,26
1120303,즉석/편의식품,냉동대용식,핫도그류,26
1120499,즉석/편의식품,라면류,기타라면류,54
1120401,즉석/편의식품,라면류,봉지라면,55
1120402,즉석/편의식품,라면류,용기라면,56
1120199,즉석/편의식품,즉석/조리식품,기타즉석/조리식품,39
1120104,즉석/편의식품,즉석/조리식품,즉석 죽/밥류,32
1120107,즉석/편의식품,즉석/조리식품,즉석국/찌개류,31
1120102,즉석/편의식품,즉석/조리식품,즉석면류,32
1120105,즉석/편의식품,즉석/조리식품,즉석반찬류,39
1120103,즉석/편의식품,즉석/조리식품,즉석스프,33
1120101,즉석/편의식품,즉석/조리식품,즉석카레류,33
1120106,즉석/편의식품,즉석/조리식품,즉석탕류/식육제품류,39
1120299,즉석/편의식품,편의식품,기타편의식품,39
1120201,즉석/편의식품,편의식품,김밥,32
1120202,즉석/편의식품,편의식품,도시락류,32
1120204,즉석/편의식품,편의식품,샐러드류,46
1120205,즉석/편의식품,편의식품,시리얼,14
1220399,차류,고형차,기타고형차,120
1220302,차류,고형차,쌍화/계피/생강차,125
1220303,차류,고형차,율무/견과차,125
1220301,차류,고형차,인삼/홍삼차,124
1220204,차류,액상차,과실차,121
1220299,차류,액상차,기타액상차,120
1220205,차류,액상차,꿀차,121
1220203,차류,액상차,대추차,125
1220206,차류,액상차,매실차,121
1220207,차류,액상차,오미자차,125
1220202,차류,액상차,유자/모과차,121
1220201,차류,액상차,인삼/홍삼농축액,124
1221199,차류,차음료,기타차음료,82
1221101,차류,차음료,녹차음료,83
1221105,차류,차음료,매실차음료,84
1221104,차류,차음료,보리차음료,85
1221103,차류,차음료,옥수수차음료,85
1221106,차류,차음료,혼합차음료,82
1221102,차류,차음료,홍차음료,84
1220104,차류,침출차,결명자/둥글레차,123
1220105,차류,침출차,구기자차/우롱차/우엉차,120
1220199,차류,침출차,기타침출차,120
1220108,차류,침출차,꽃/잎차,120
1220101,차류,침출차,녹차/현미녹차,122
1220102,차류,침출차,보리차,123
1220109,차류,침출차,십전대보차,82
1220103,차류,침출차,옥수수차,123
1220107,차류,침출차,허브차/자스민차,126
1220106,차류,침출차,홍차,126
1039999,축산가공식품,기타축산가공식품,기타육가공,34
1030204,축산가공식품,조미육가공,갈비찜,34
1030218,축산가공식품,조미육가공,닭가공품,35
1030211,축산가공식품,조미육가공,닭양념육,35
1030207,축산가공식품,조미육가공,돈가스,36
1030208,축산가공식품,조미육가공,돈육훈제,36
1030209,축산가공식품,조미육가공,돼지양념육,36
1030213,축산가공식품,조미육가공,떡갈비,36
1030203,축산가공식품,조미육가공,바비큐,34
1030201,축산가공식품,조미육가공,베이컨,38
1030217,축산가공식품,조미육가공,삼계탕,35
1030210,축산가공식품,조미육가공,쇠고기양념육,37
1030216,축산가공식품,조미육가공,순대,36
1030219,축산가공식품,조미육가공,오리가공품,35
1030212,축산가공식품,조미육가공,오리양념육,35
1030202,축산가공식품,조미육가공,육포,16
1030205,축산가공식품,조미육가공,족발,36
1030214,축산가공식품,조미육가공,편육,36
1030215,축산가공식품,조미육가공,폭립,36
1030206,축산가공식품,조미육가공,훈제오리,38
1030101,축산가공식품,햄/소시지(통조림/병제외),소시지,38
1030102,축산가공식품,햄/소시지(통조림/병제외),햄,38
1219999,커피/코코아,기타커피/코코아,기타커피/코코아,86
1210399,커피/코코아,액상커피,기타액상커피,86
1210303,커피/코코아,액상커피,더치커피,86
1210302,커피/코코아,액상커피,액상캡슐커피,130
1210301,커피/코코아,액상커피,커피음료,86
1210199,커피/코코아,원두커피,기타원두커피,129
1210101,커피/코코아,원두커피,로스팅원두커피,129
1210102,커피/코코아,원두커피,머신캡슐커피,130
1210103,커피/코코아,원두커피,포드커피,129
