,CAT_1,CAT_2,CAT_3
0,건강식품,건강기능식품,
1,건강식품,꿀,
2,건강식품,선식,
3,건강식품,홍삼/인삼,
4,견과/건과,건과일/야채,
5,견과/건과,기타,
6,견과/건과,땅콩/견과류,
7,과자/초콜릿/시리얼,기타,
8,과자/초콜릿/시리얼,껌/젤리,껌
9,과자/초콜릿/시리얼,껌/젤리,젤리
10,과자/초콜릿/시리얼,사탕/카라멜/초콜릿,사탕
11,과자/초콜릿/시리얼,사탕/카라멜/초콜릿,초콜릿
12,과자/초콜릿/시리얼,사탕/카라멜/초콜릿,카라멜
13,과자/초콜릿/시리얼,스낵,
14,과자/초콜릿/시리얼,시리얼,
15,과자/초콜릿/시리얼,육포/소시지,소시지
16,과자/초콜릿/시리얼,육포/소시지,육포
17,과자/초콜릿/시리얼,전통과자,
18,과자/초콜릿/시리얼,쿠키/파이,
19,기타,기타,
20,냉동/간편요리,간편요리,돈까스
21,냉동/간편요리,간편요리,동그랑땡
22,냉동/간편요리,간편요리,만두
23,냉동/간편요리,간편요리,치킨
24,냉동/간편요리,간편요리,탕수육
25,냉동/간편요리,간편요리,튀김류
26,냉동/간편요리,간편요리,피자/핫도그
27,냉동/간편요리,고기/해물,고기
28,냉동/간편요리,고기/해물,해물
29,냉동/간편요리,기타,
30,냉동/간편요리,면/밥,
31,냉장/간편요리,간편요리,국/찌개
32,냉장/간편요리,간편요리,면/밥
33,냉장/간편요리,간편요리,카레/짜장/스프
34,냉장/간편요리,고기,기타
35,냉장/간편요리,고기,닭/오리
36,냉장/간편요리,고기,돼지
37,냉장/간편요리,고기,소
38,냉장/간편요리,고기,햄/소시지
39,냉장/간편요리,기타,
40,냉장/간편요리,김치/피클,기타
41,냉장/간편요리,김치/피클,김치
42,냉장/간편요리,김치/피클,단무지/쌈무
43,냉장/간편요리,김치/피클,피클/할라피뇨
44,냉장/간편요리,두부/샐러드,기타
45,냉장/간편요리,두부/샐러드,두부
46,냉장/간편요리,두부/샐러드,샐러드
47,냉장/간편요리,두부/샐러드,유부
48,냉장/간편요리,수산물/건어물,건어물
49,냉장/간편요리,수산물/건어물,수산물
50,냉장/간편요리,어묵/맛살,기타
51,냉장/간편요리,어묵/맛살,맛살
52,냉장/간편요리,어묵/맛살,어묵
53,면/라면/통조림,기타,
54,면/라면/통조림,라면,기타
55,면/라면/통조림,라면,봉지라면
56,면/라면/통조림,라면,컵라면
57,면/라면/통조림,면,기타
58,면/라면/통조림,면,냉면/메밀면
59,면/라면/통조림,면,당면/쫄면
60,면/라면/통조림,면,쌀국수/칼국수
61,면/라면/통조림,면,우동/생면
62,면/라면/통조림,면,짜장면/짬뽕
63,면/라면/통조림,면,파스타
64,면/라면/통조림,통조림/병,고기
65,면/라면/통조림,통조림/병,과일/야채
66,면/라면/통조림,통조림/병,기타
67,면/라면/통조림,통조림/병,잼/스프레드
68,면/라면/통조림,통조림/병,해물
69,빵/떡,떡,
70,빵/떡,빵,기타
71,빵/떡,빵,단팥/크림/소보루
72,빵/떡,빵,도넛
73,빵/떡,빵,식빵
74,빵/떡,빵,케이크
75,빵/떡,빵,호빵/찐빵
76,생수/음료,기타,
77,생수/음료,생수,
78,생수/음료,스포츠/이온음료,
79,생수/음료,전통,
80,생수/음료,주스,
81,생수/음료,초코,
82,생수/음료,커피/차,기타
83,생수/음료,커피/차,녹차
84,생수/음료,커피/차,매실/홍차
85,생수/음료,커피/차,보리/옥수수차
86,생수/음료,커피/차,커피
87,생수/음료,탄산,기타
88,생수/음료,탄산,사이다
89,생수/음료,탄산,콜라
90,생수/음료,탄산,탄산수
91,소스/드레싱,기름,식용유
92,소스/드레싱,기름,조미유
93,소스/드레싱,드레싱,
94,소스/드레싱,소스,간장
95,소스/드레싱,소스,고추장
96,소스/드레싱,소스,기타
97,소스/드레싱,소스,된장
98,소스/드레싱,소스,마요네즈
99,소스/드레싱,소스,쌈장
100,소스/드레싱,소스,케첩
101,유제품/아이스크림,기타,
102,유제품/아이스크림,버터/마가린,마가린
103,유제품/아이스크림,버터/마가린,버터
104,유제품/아이스크림,아이스크림,기타
105,유제품/아이스크림,아이스크림,바
106,유제품/아이스크림,아이스크림,콘/컵
107,유제품/아이스크림,아이스크림,튜브
108,유제품/아이스크림,연유,
109,유제품/아이스크림,요구르트,
110,유제품/아이스크림,우유,기타
111,유제품/아이스크림,우유,흰우유
112,유제품/아이스크림,치즈,
113,유제품/아이스크림,크림,
114,주류,기타,
115,주류,맥주,
116,주류,샴페인/와인,
117,주류,소주,
118,주류,양주,
119,주류,전통주,
120,커피/차,차,기타
121,커피/차,차,꿀/과실차
122,커피/차,차,녹차
123,커피/차,차,보리/옥수수차
124,커피/차,차,인삼/홍삼차
125,커피/차,차,전통차
126,커피/차,차,허브/자스민/홍차
127,커피/차,커피,기타
128,커피/차,커피,믹스/인스턴트
129,커피/차,커피,원두
130,커피/차,커피,캡슐
131,커피/차,코코아,
